Topic,Count,Name,Representation,Representative_Docs
-1,304,-1_machine_time_class_get,"['machine', 'time', 'class', 'get', 'member', 'go', 'work', 'staff', 'people', 'use']","['two year go get bad time get well look new go promise wifi never happen never get two year yet staff issue get online wifi proper climate control main air con break last two year instead fix try use portable unit job summer hot winter hot water temp set cold shower shower sink drainage stink get blocked time drain need sort fix see machine action one machine issue people routine flavour water dispenser seem run flavour time order damage floor stuck tape silly stuff like charge make promise thing deliver literally fall apart seem company management care pay give offer take care repair like meant friendly staff lot nice people go even though lot stop go see reason go', 'decent standard vibe really slip class cancel little notice staff turn run contact apology management even contact joke around manager non existent never reply email timetable class change suit need staff ie type class time run please stop mess member plan interest class short suit staff min class reduce min popular class ie spin combat use oversubscribed either cancel significantly reduce please get trainer deliver good plan stop spin together float response management circuit take timetable even pt run every wednesday pt even class disappear sure sick class cancel last minute say go get punch bag run pad work class still happen struggle recruit staff look miserable lot staff leave seem case branch dirty see dirt even room dark even studio shower door see even though feed back load fix take simple stick add shower age put name instructor class timetable say fitness team tell u know happen manager staff favourite see bloke flirt user patricia godsend run ground cover absence leave sickness womens area good smith machine put sad really seem longer take feedback care previous management use listen inform adjustment people leave standard jd open please sort stop give standard response review genuine personalable passionate care work health affect doubt happy enjoying work', 'start… member number year see huge decline run manage facility air condition park hit time low point appear run ground good thing space train many problem fix dealt year issue overlook anymore speak management issue never end excuse issue fix deal properly go get worse completely unacceptable amount money make membership month despite issue member complaint actually audacity increase membership month ago help “towards maintenance” improvement make time get significantly bad small snapshot issue air condition stop work soon hot weather arrive third year row happen manger come go time make excuse say work air condition unit u smart system smart unbearable train heat pleasant breathe everyone germ body odour sweat like sauna generally nice environment felt like go pas day least last year leave door open hire large portable aircon unit start train pay membership • old tire need replace like new precor south thing always break order sign cable machine tire way dumbbell olympic bar mostly bent cardio machine break need serious maintenance serious injury occur wait happen •cleaning facility wipe reduce since january therefore clean might time day train personally never see member staff cleaning also change room disgust smell constantly notify member month ago would build work commence apartment across road building company would use upto car park space builder allow park parking difficult member best time enough space capacity park premium cannot park surround street double yellow line know finish many occasion member train busy pm find parking space pt unfriendly welcome unless part “clique”•the new assistant manager need address issue raise many member instead parade around gawp male member find really uncomfortable actually hypocritical give promote harassment” campaign poster check cctv clearly see check individual list gay date meet site member use facility late night get alsorts highly rat aswell believe madness sign list endless matter manager take manager head office none appear anything unless something change drastically think mass exodus member leave come back charge nearly £ month train substandard facility management listen address issue raise think join favour find another one']"
0,152,0_membership_cancel_email_customer,"['membership', 'cancel', 'email', 'customer', 'service', 'pay', 'take', 'get', 'month', 'use']","['hello join bedford nearly three month ago first payment include call admin fee fee second payment monthly suppose £ take £ reason complaint ignore manager state customer service issue contact customer service member service email give get automatic response state sorry leave ignored cost get month take £ stop direct debit cancel membership despite pay spoke team point towards email previously mention like purecon £ three month membership membership suppose £ stay well clear', 'great shop floor staff company morally bankrupt claw much money customer possible website talk flexible package ability change require reality want upgrade give money process simple downgrade possible without cancel direct debit experience quick google tell one try downgrade website take circle web page right back start contact customer service receive response easy downgrade click take straight back circular process caveat message process work cancel direct debit” need tell another really sad example corporate greed try get one loyal customer frankly well thing mess around cancel direct debit go whole sign process set fee take advantage update follow response copy part email chain customer service demonstrate easily downgrade membership customer request recommend cancel direct debit “thank message sorry feel spout lie inform cancellation process also mention previous email information issue way nothing worry also cancel end direct debit agreement bank issue resolve contact bank directly cancel direct debit unable cancel membership behalf member otherwise would help advise issue hand best possible member ” would intrigue hear happen', 'tried cancel membership app let joing week get deal £ first month get charge £ next month couple email still never cancel membership advise cancel direct debit go back app waste time recommend bad customer service']"
1,66,1_machine_weight_bench_go,"['machine', 'weight', 'bench', 'go', 'press', 'space', 'one', 'area', 'need', 'cardio']","['edinburgh craigleith lack far busy weight machine free weight need space split across floor many cardio machine take unnecessary space mostly cable machine break good enough lack squat rack kg bar massive unused space middle bottom floor complete waste', 'go month sadly go downhill know suggestion box know especially female member feeling recently weight area need update especially comparison puregyms area two squat rack one powerlifting platform two smith machine understandably popular four ft barbell belong two squat rack one powerlifting platform one bench press feel bad steal plate hard find usually place smith machine ancient even go way ground hip thrust machine like space want hip thrust deadlift away squat rack youd literally middle space way even invest hip thrust bench barbell pad would better nothing womens section nothing cardio abductor machine two space mirror two bench take load woman workout middle room big ab mat holder decent space potential amaze need look bit well definitely fall behind lately + people get quite busy great people wellness difficult space would great staff could consider update layout', 'way busy struggle get machine even bench free weight great want cardio look use weight machine free weight']"
2,62,2_shower_cold_water_temperature,"['shower', 'cold', 'water', 'temperature', 'dirty', 'go', 'hot', 'room', 'change', 'warm']","['change room facility unpleasant especially cold weather heat cold shower lack heat minus temperature awful point warm hairdryers could least hot shower two week ago shower temperature turn even get hot shower anymore wanting use hot shower facility would recommend update thanks reply however already spoken manager fareham advise nothing due company wide scheme roll across suggestion write review go round circle', 'break never get repaired wait month lady shower smell filthy always cold lot member comply cold shower get ignored shower oc way cold staff lie never go fix cold shower issue find alternative sick bull#### use alternative dudley shower cold go show one tipton freeze refuse turn staff tipton waste time update response cold know heat come shower still cold save money expense', 'member sutton coldfield open temperature shower tepid warm best plus suppose hot shower cold shower never get use busy time queue get shower mention say staying temperature lot member know happy expect less cold shower workout unless change member leave good enough unless like cold shower join interested look poor']"
3,55,3_class_book_cancel_get,"['class', 'book', 'cancel', 'get', 'time', 'attend', 'staff', 'miss', 'one', 'minute']","['arrived class morning one show take class cancel short notice always notify email miss class get mark name one show class cancel accountability', 'class one day get email say miss get strike speak guy say would fix genuinely cancelled class late understand strike attend another class get email say attend strike rule would apply class get strike personally ticked name registration list ban book class since rd strike day ago still unable book class suspend one call talk order resolve pay membership solely class attend suspend strike miss one class', 'ban book class cancel day feel well give hour notice attend class get email say sorry miss class class get cancel last minute please sort admin staff block book class']"
4,47,4_clean_change_use_machine,"['clean', 'change', 'use', 'machine', 'toilet', 'one', 'room', 'staff', 'area', 'need']","['recently ask submit feedback follow recent visit highlight lack cleaning station clean product stephen respond usual blah blah ask stephen deputy manager value member health bacteria germ goodness still rife sadly response ask stephen explain clean station lady response find main part male dominate area highlight response stephen speak behalf large conglomerate decide pay woman member choose remain lady area warrant hygiene station comment stephen please explain cleaning station available lady ok bacteria germ sweat etc pass person machine person would sign say wipe use stephen response clean station main floor everyone use everything find term condition people sign regard wipe unbelievable completely ignore seriousness issue thanks response cannot visit park royal recently say pandemic time hygiene standard exemplary substandard member health wellbeing important cost save exercise wish would admit sadly response say lot afraid lose another member would interest see government guideline mention unable locate gov uk sadly park royal near hygiene level mention others suppose todo accord sport england dept ensure clean surface must make sure provide part activity clean frequently appropriate product disinfectant wipe share provided venue organisation must periodically wash thoroughly', 'frill expect clean basic cheap run machine free weight excellent good space everything else basic cheap worth money ever see member staff training first attendance sadly clean product available asked twitter via email response due save world less paper towel worry clean feel like sweat like pig run machine clean next person vice versa go go machine see drench someone sweat clean clean product pretty sure want save work paper could atleast leave cleaning spray change towel regularly find odd covid become clean go back dirty slob people every person say thing far dirtiest attend caerphilly quite clean product apart', 'felt need leave review complaint friendly staff result nothing staff aware issue aware problem also aware action take resolve positive refurb new kit great always hunt plate though new floor free weight also great staff friendly knowledgable approachable negative air con leak + year free weight area despite issue refurb nothing change room lock ever damage poorly maintain old old machine poorly maintain borderline dangerous due issue grip spin meant rigid repair time facility frequently break repair time take anywhere week +months recent example would disable toilet shower room lock approximately week men locker room break locker would estimate least locker unusable due damage lock frame b damage poorly repair urinal urinal fell wall properly repair still leak lead change room frequently smell quite badly due c change shower temperature time recently barely warm frequent blast cold water encourage use even last month entire toilet area completely flood member since open slowly gotten bad would recommend use different site **update** month half nothing change staff still great obvious owner interested put money fix anything would still advise use different site **update #** another month still nothing change broken await repair shower temp still low swing wildly cold hot']"
5,26,5_air_condition_aircon_heat,"['air', 'condition', 'aircon', 'heat', 'work', 'hot', 'week', 'summer', 'workout', 'get']","['great portland st actually cavendish mew unbearable summer month due aircon able cope heat husband member year time suffer issue aircon tv work tv problem ongoing year excuse wait part fix basement enter warmth strange decompose smell greets probably due lack air circulation pleasant various lovely manager year problem head office care fix aircon tv appear head office interested invest everything work member get pay membership staff super friendly clean however non work aircon tv make poor cannot recommend join summer month unless like warm fine winter', 'hednesford like sauna air condition work since around may put plenty complaint regard air condition since may nothing really consider move way hot understand workout build sweat run minute sweat pour quite fit please get air condition sort feel customer also move air condition like go get contact health safety safe customer could pas due fitness hot', 'main issue air condition visit today pm air condition staff around ask turn something need ask turn last week c working day know keep day without c also ramadan lot muslim visit late night air condition due hard breathe firstly especially asthma stuffy get sweaty make really unhygienic walk everytime c struggle sure many others send email respond feel like majority asian seem bother thing fyi c schedule late night oldham late night pm c switch machine always break take way long fix example smith machine popular two one machine break month mean either spend extra time wait miss workout next water machine break sport drink pay member available day disappoint']"
